0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/css/main.css HTTP/1.1" 200 10109
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/select2/select2.min.js HTTP/1.1" 200 66664
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/css/util.css HTTP/1.1" 200 86814
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/countdowntime/countdowntime.js HTTP/1.1" 200 1340
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/bootstrap/js/popper.js HTTP/1.1" 200 81670
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/animsition/js/animsition.min.js HTTP/1.1" 200 5615
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/daterangepicker/daterangepicker.js HTTP/1.1" 200 69776
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/js/main.js HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/images/bg-01.jpg HTTP/1.1" 200 24337
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/fonts/poppins/Poppins-Bold.ttf HTTP/1.1" 200 141260
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/fonts/poppins/Poppins-Regular.ttf HTTP/1.1" 200 145312
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/vendor/daterangepicker/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:15 +0700] "GET /assign-front-end/templates/web/login/fonts/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:16 +0700] "GET /assign-front-end/templates/web/login/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 51143
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:16 +0700] "GET /assign-front-end/templates/web/login/images/icons/favicon.ico HTTP/1.1" 200 32038
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:38 +0700] "POST /assign-front-end/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:43:38 +0700] "GET /assign-front-end/trang-chu HTTP/1.1" 200 35074
0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:50 +0700] "GET /assign-front-end/logoff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:50 +0700] "GET /assign-front-end/trang-chu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:50 +0700] "GET /assign-front-end/trang-chu?sessionTimeout HTTP/1.1" 200 33862
0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:53 +0700] "GET /assign-front-end/login HTTP/1.1" 200 6589
0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:57 +0700] "POST /assign-front-end/j_spring_security_check HTTP/1.1" 302 -
