127.0.0.1 - - [27/Jun/2023:06:55:13 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:14 +0700] "GET /Java_Four_Assign/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/trang-chu HTTP/1.1" 200 11873
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/web/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/web/fontawesome/css/all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/web/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/web/css/web.header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/paging/jquery.twbsPagination.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:16 +0700] "GET /Java_Four_Assign/templates/web/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:17 +0700] "GET /Java_Four_Assign/templates/web/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:18 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:42 +0700] "GET /Java_Four_Assign/admin HTTP/1.1" 200 24046
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-bs4/css/dataTables.bootstrap4.min.css HTTP/1.1" 200 7497
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-buttons/css/buttons.bootstrap4.min.css HTTP/1.1" 200 9001
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-responsive/css/responsive.bootstrap4.min.css HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 59309
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/tempusdominus-bootstrap-4/css/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 11967
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 200 8069
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jquery/jquery.min.js HTTP/1.1" 200 89503
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 254926
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 83259
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/chart.js/Chart.min.js HTTP/1.1" 200 173084
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/sparklines/sparkline.js HTTP/1.1" 200 7219
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/dist/css/adminlte.min.css HTTP/1.1" 200 1396758
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 200 21159
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20021
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47714
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 200 10804
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/moment/moment.min.js HTTP/1.1" 200 58863
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42614
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 200 67842
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 61593
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/summernote/summernote-bs4.min.js HTTP/1.1" 200 153031
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/dist/js/demo.js HTTP/1.1" 200 23317
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/dist/js/adminlte.js HTTP/1.1" 200 107329
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/dist/js/pages/dashboard.js HTTP/1.1" 200 7626
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-bs4/js/dataTables.bootstrap4.min.js HTTP/1.1" 200 4534
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables/jquery.dataTables.min.js HTTP/1.1" 200 88143
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-responsive/js/dataTables.responsive.min.js HTTP/1.1" 200 16897
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-responsive/js/responsive.bootstrap4.min.js HTTP/1.1" 200 3673
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-buttons/js/dataTables.buttons.min.js HTTP/1.1" 200 25237
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-buttons/js/buttons.bootstrap4.min.js HTTP/1.1" 200 1450
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/jszip/jszip.min.js HTTP/1.1" 200 95790
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-buttons/js/buttons.html5.min.js HTTP/1.1" 200 25139
0:0:0:0:0:0:0:1 - - [27/Jun/2023:06:55:43 +0700] "GET /Java_Four_Assign/templates/admin/plugins/datatables-buttons/js/buttons.colVis.min.js HTTP/1.1" 200 3208
